"corrente","tensao","data"
"1.79","2.32","12/01/2017 16:05:14"
"1.93","3.27","12/01/2017 16:05:17"
"1.91","5.23","12/01/2017 16:05:20"
"1.91","7.20","12/01/2017 16:05:23"
"1.88","9.16","12/01/2017 16:05:26"
"1.42","10.76","12/01/2017 16:05:30"
"0.65","11.48","12/01/2017 16:05:33"
"0.12","11.92","12/01/2017 16:05:36"
"1.44","2.06","16/01/2017 09:59:27"
"1.57","2.51","16/01/2017 09:59:30"
"1.57","3.97","16/01/2017 09:59:33"
"1.55","5.50","16/01/2017 09:59:37"
"1.57","6.98","16/01/2017 09:59:40"
"1.52","8.53","16/01/2017 09:59:43"
"1.40","9.90","16/01/2017 09:59:46"
"0.99","10.94","16/01/2017 09:59:49"
"0.42","11.70","16/01/2017 09:59:53"
"0.09","11.97","16/01/2017 09:59:56"
"1.92","2.43","16/01/2017 10:28:22"
"2.07","3.30","16/01/2017 10:28:25"
"2.07","5.15","16/01/2017 10:28:28"
"2.09","7.08","16/01/2017 10:28:31"
"2.00","8.98","16/01/2017 10:28:35"
"1.65","10.56","16/01/2017 10:28:38"
"0.90","11.37","16/01/2017 10:28:41"
"0.28","11.93","16/01/2017 10:28:44"
"1.63","2.17","16/01/2017 10:57:04"
"1.78","2.80","16/01/2017 10:57:07"
"1.76","4.45","16/01/2017 10:57:10"
"1.75","6.15","16/01/2017 10:57:13"
"1.73","7.81","16/01/2017 10:57:17"
"1.64","9.41","16/01/2017 10:57:20"
"1.24","10.62","16/01/2017 10:57:23"
"0.62","11.33","16/01/2017 10:57:26"
"0.14","11.88","16/01/2017 10:57:29"
"2.29","2.65","16/01/2017 11:25:58"
"2.45","3.81","16/01/2017 11:26:01"
"2.41","5.93","16/01/2017 11:26:05"
"2.38","8.10","16/01/2017 11:26:08"
"2.16","10.14","16/01/2017 11:26:11"
"1.29","11.24","16/01/2017 11:26:14"
"0.52","11.95","16/01/2017 11:26:17"
"0.06","12.01","16/01/2017 11:26:21"
"1.86","2.31","16/01/2017 11:54:33"
"1.96","3.16","16/01/2017 11:54:36"
"2.00","4.92","16/01/2017 11:54:39"
"1.94","6.78","16/01/2017 11:54:43"
"1.91","8.58","16/01/2017 11:54:46"
"1.68","10.19","16/01/2017 11:54:49"
"1.00","11.13","16/01/2017 11:54:52"
"0.33","11.75","16/01/2017 11:54:55"
"1.79","2.32","16/01/2017 12:23:15"
"1.94","3.07","16/01/2017 12:23:18"
"1.93","4.83","16/01/2017 12:23:21"
"1.91","6.64","16/01/2017 12:23:25"
"1.88","8.42","16/01/2017 12:23:28"
"1.67","10.03","16/01/2017 12:23:31"
"1.06","11.14","16/01/2017 12:23:34"
"0.42","11.69","16/01/2017 12:23:37"
"2.06","2.53","16/01/2017 12:51:47"
"2.18","3.45","16/01/2017 12:51:50"
"2.21","5.39","16/01/2017 12:51:54"
"2.13","7.33","16/01/2017 12:51:57"
"2.11","9.24","16/01/2017 12:52:00"
"1.60","10.69","16/01/2017 12:52:03"
"0.79","11.34","16/01/2017 12:52:06"
"2.21","2.62","16/01/2017 13:20:07"
"2.34","3.66","16/01/2017 13:20:10"
"2.30","5.65","16/01/2017 13:20:13"
"2.24","7.68","16/01/2017 13:20:16"
"2.16","9.69","16/01/2017 13:20:19"
"1.48","11.00","16/01/2017 13:20:22"
"0.63","11.54","16/01/2017 13:20:26"
"0.12","12.08","16/01/2017 13:20:29"
"2.64","2.94","16/01/2017 13:48:36"
"2.79","4.34","16/01/2017 13:48:39"
"2.73","6.69","16/01/2017 13:48:42"
"2.69","9.06","16/01/2017 13:48:45"
"2.01","10.79","16/01/2017 13:48:48"
"0.90","11.54","16/01/2017 13:48:52"
"1.40","1.94","16/01/2017 14:16:55"
"1.42","2.29","16/01/2017 14:16:58"
"1.44","3.62","16/01/2017 14:17:02"
"1.42","5.03","16/01/2017 14:17:05"
"1.41","6.42","16/01/2017 14:17:08"
"1.39","7.79","16/01/2017 14:17:11"
"1.34","9.11","16/01/2017 14:17:15"
"1.07","10.31","16/01/2017 14:17:18"
"0.63","10.91","16/01/2017 14:17:21"
"0.22","11.51","16/01/2017 14:17:24"
"0.02","11.51","16/01/2017 14:17:27"
"1.50","1.99","16/01/2017 15:10:37"
"1.52","3.90","16/01/2017 15:10:41"
"1.51","6.84","16/01/2017 15:10:44"
"1.36","9.66","16/01/2017 15:10:47"
"0.45","11.51","16/01/2017 15:10:50"
"1.04","1.72","16/01/2017 16:28:54"
"1.10","2.97","16/01/2017 16:28:57"
"1.13","5.28","16/01/2017 16:29:00"
"1.07","7.63","16/01/2017 16:29:04"
"0.93","9.81","16/01/2017 16:29:07"
"0.35","11.32","16/01/2017 16:29:10"
"0.04","11.64","16/01/2017 16:29:13"