"corrente";"tensao";"data"
"1.99";"1.28";"16/01/2017 09:57:59"
"2.16";"3.32";"16/01/2017 09:58:06"
"2.16";"5.30";"16/01/2017 09:58:09"
"2.14";"7.36";"16/01/2017 09:58:12"
"2.04";"9.21";"16/01/2017 09:58:15"
"1.55";"10.63";"16/01/2017 09:58:18"
"0.77";"11.28";"16/01/2017 09:58:21"
"0.18";"12.07";"16/01/2017 09:58:25"
"0.02";"11.96";"16/01/2017 09:58:28"
"2.45";"3.83";"16/01/2017 10:27:03"
"2.65";"4.31";"16/01/2017 10:27:07"
"2.62";"6.52";"16/01/2017 10:27:10"
"2.59";"8.83";"16/01/2017 10:27:13"
"2.04";"10.63";"16/01/2017 10:27:16"
"1.00";"11.47";"16/01/2017 10:27:19"
"0.28";"11.90";"16/01/2017 10:27:23"
"2.07";"3.51";"16/01/2017 10:55:42"
"2.26";"3.65";"16/01/2017 10:55:45"
"2.27";"5.57";"16/01/2017 10:55:48"
"2.28";"7.63";"16/01/2017 10:55:52"
"2.04";"9.59";"16/01/2017 10:55:55"
"1.37";"10.79";"16/01/2017 10:55:58"
"0.57";"11.75";"16/01/2017 10:56:01"
"0.11";"11.75";"16/01/2017 10:56:04"
"2.62";"3.98";"16/01/2017 11:24:43"
"2.86";"4.60";"16/01/2017 11:24:46"
"2.84";"6.96";"16/01/2017 11:24:49"
"2.75";"9.40";"16/01/2017 11:24:53"
"1.85";"10.91";"16/01/2017 11:24:56"
"0.77";"11.60";"16/01/2017 11:24:59"
"2.23";"3.67";"16/01/2017 11:53:15"
"2.44";"3.97";"16/01/2017 11:53:18"
"2.45";"6.05";"16/01/2017 11:53:21"
"2.42";"8.25";"16/01/2017 11:53:24"
"2.04";"10.12";"16/01/2017 11:53:27"
"1.19";"11.07";"16/01/2017 11:53:31"
"0.36";"11.81";"16/01/2017 11:53:34"
"2.26";"3.69";"16/01/2017 12:21:56"
"2.48";"4.06";"16/01/2017 12:22:00"
"2.49";"6.09";"16/01/2017 12:22:03"
"2.45";"8.32";"16/01/2017 12:22:06"
"2.07";"10.24";"16/01/2017 12:22:09"
"1.16";"11.26";"16/01/2017 12:22:13"
"0.42";"11.84";"16/01/2017 12:22:16"
"2.75";"4.13";"16/01/2017 12:50:32"
"3.00";"4.83";"16/01/2017 12:50:35"
"2.97";"7.24";"16/01/2017 12:50:38"
"2.80";"9.68";"16/01/2017 12:50:42"
"1.79";"11.12";"16/01/2017 12:50:45"
"0.75";"11.63";"16/01/2017 12:50:48"
"2.74";"4.11";"16/01/2017 13:18:51"
"3.02";"4.84";"16/01/2017 13:18:54"
"2.97";"7.25";"16/01/2017 13:18:58"
"2.80";"9.70";"16/01/2017 13:19:01"
"1.79";"11.12";"16/01/2017 13:19:04"
"0.73";"11.62";"16/01/2017 13:19:07"
"3.38";"4.59";"16/01/2017 13:47:24"
"3.61";"5.82";"16/01/2017 13:47:27"
"3.56";"8.68";"16/01/2017 13:47:30"
"2.65";"10.85";"16/01/2017 13:47:33"
"1.18";"11.75";"16/01/2017 13:47:36"
"2.74";"3.63";"16/01/2017 14:15:40"
"2.90";"4.57";"16/01/2017 14:15:43"
"2.79";"6.85";"16/01/2017 14:15:46"
"2.68";"9.23";"16/01/2017 14:15:50"
"1.88";"10.80";"16/01/2017 14:15:53"
"0.81";"11.48";"16/01/2017 14:15:56"
"1.97";"3.48";"16/01/2017 15:09:29"
"2.05";"5.29";"16/01/2017 15:09:32"
"1.98";"8.94";"16/01/2017 15:09:35"
"0.78";"10.99";"16/01/2017 15:09:38"
"1.17";"1.36";"16/01/2017 16:01:23"
"1.24";"3.28";"16/01/2017 16:01:26"
"1.30";"5.93";"16/01/2017 16:01:29"
"1.20";"8.49";"16/01/2017 16:01:32"
"0.77";"10.43";"16/01/2017 16:01:35"
"0.11";"11.43";"16/01/2017 16:01:39"
"0.01";"11.57";"16/01/2017 16:01:42"
"1.23";"1.43";"16/01/2017 16:27:39"
"1.35";"3.45";"16/01/2017 16:27:42"
"1.34";"6.13";"16/01/2017 16:27:45"
"1.27";"8.75";"16/01/2017 16:27:48"
"0.75";"10.61";"16/01/2017 16:27:51"
"0.08";"11.50";"16/01/2017 16:27:55"
"1.40";"1.40";"16/01/2017 16:54:29"
"1.40";"3.54";"16/01/2017 16:54:33"
"1.27";"6.20";"16/01/2017 16:54:36"
"1.23";"8.84";"16/01/2017 16:54:39"
"0.70";"10.69";"16/01/2017 16:54:42"
"0.07";"11.51";"16/01/2017 16:54:45"